Capitel,Index,Text
subpara,6.3.5.," For warning devices of the electro-pneumatic type, the device may be lubricated with the oil recommended by the manufacturer after every 10 000 times of operation."
Para,7.,MODIFICATION OF THE TYPE OF AUDIBLE WARNING DEVICE AND EXTENSION APPROVAL
subpara,7.1.,Any modification of the type of audible warning device shall be notified to the administrative department which granted approval to the type of audible warning device. This department may then:
subpara,7.1.1., either take the view that the modifications made are not likely to have any appreciable adverse effect;
subpara,7.1.2., or call for a new report from the technical service responsible for the tests.
subpara,7.2.,"Notice of confirmation of the approval, with particulars of the modifications, or of refusal of approval shall be communicated to the Parties to the Agreement applying this Regulation, in accordance with the procedure indicated in paragraph 5.4 above."
subpara,7.3.,The competent authority issuing the extension of approval shall assign a series number to each communication form drawn up for such an extension.
Para,8.,"CONFORMITY OF PRODUCTION The conformity of production procedures shall comply with those set out in the Agreement, Appendix 2 (E/ECE/324-E/ECE/TRANS/505/Rev.2) with the following requirements:"
subpara,8.1., AWD approved under this Regulation shall be so manufactured as to conform to the type approved by meeting the requirements set forth in paragraph 6 above.
subpara,8.2., The authority which has granted type approval may at any time verify the conformity control methods applied in each production facility. The normal frequency of these verifications shall be once every 2 years.
Para,9.,PENALTIES FOR NON-CONFORMITY OF PRODUCTION
subpara,9.1.,The approval granted to a type of audible warning device pursuant to this Regulation may be withdrawn if the conditions set forth in paragraph 8.1 are not complied with or if the audible warning device fails to pass the checks referred to in paragraph 8.2 above.
subpara,9.2.,"Should a Party to the Agreement applying this Regulation withdraw an approval which it has previously granted, it shall forthwith notify the other Contracting Parties applying this Regulation by means of a copy of the approval form bearing at the end in large letters the statement, signed and dated: ‘APPROVAL WITHDRAWN’."
Para,10.,"PRODUCTION DISCONTINUED If the holder of an approval granted pursuant to this Regulation discontinues the production of the type of audible warning device approved, he shall inform the authority which granted the approval. Upon receipt of the communication, this authority shall inform the other Parties to the Agreement applying this Regulation by means of a copy of the approval form bearing at the end in large letters the statement, signed and dated: ‘PRODUCTION DISCONTINUED’."
Para,10.,II.   AUDIBLE SIGNALS OF MOTOR VEHICLES
Para,11.,"DEFINITIONS For the purpose of this Regulation,"
subpara,11.1., ‘Approval of the motor vehicle’ shall be understood to mean approval of vehicle type with regard to its audible signal;
subpara,11.2., ‘Vehicle type’ shall be understood to mean vehicles not essentially different from another with respect to such matters as:
subpara,11.2.1., the number and type(s) of warning devices fitted on the vehicle;
subpara,11.2.2., the mountings used to fit the warning devices to the vehicle;
subpara,11.2.3., the position of the warning devices on the vehicle;
subpara,11.2.4., the rigidity of the parts of the structure on which the warning device(s) is (are) mounted;
subpara,11.2.5., the shape and materials of the bodywork at the front of the vehicle which might affect the level of the sound emitted by the warning device(s) and have a masking effect.
Para,12.,APPLICATION FOR APPROVAL
subpara,12.1.,The application for approval of a vehicle type with regard to its audible signals shall be submitted by the vehicle manufacturer or by his duly accredited representative;
subpara,12.2.,It shall be accompanied by the following documents in triplicate giving the following particulars:
subpara,12.2.1., a description of the vehicle type with regard to the items mentioned in paragraph 11.2 above;
subpara,12.2.2., a list of the components required to identify the warning device(s) that may be mounted on the vehicle;
subpara,12.2.3., Drawings indicating the position on the vehicle of the warning device(s) and of its (their) mountings.
subpara,12.3.,A vehicle representative of the vehicle type to be approved shall be submitted to the technical service responsible for the approval tests.
Para,13.,APPROVAL
subpara,13.1.,"If the vehicle type submitted for approval pursuant to this Regulation meets the requirements of paragraphs 14 and 15 below, approval for this vehicle type shall be granted."
subpara,13.2.,An approval number shall be assigned to each type approved. Its first two digits (at present 00 for the Regulation in its original form) shall indicate the series of amendments incorporating the most recent major technical amendments made to the Regulation at the time of issue of the approval. The same Contracting Party may not assign this number to another vehicle type.
subpara,13.3.,"Notice of approval or of refusal of approval or extension or withdrawal or production definitely discontinued of a vehicle type pursuant to this Regulation shall be communicated to the Parties to the Agreement applying this Regulation by means of a form conforming to the model in Annex 2 to the Regulation, and of drawings (supplied by the applicant for approval) with maximum format A4 (210 × 297 mm), or folded to this format, and on an appropriate scale."
subpara,13.4.,"On every vehicle which conforms to a vehicle type approved under this Regulation there shall be affixed conspicuously, in an easily accessible place indicated on the approval form, an international approval mark comprising:"
subpara,13.4.1.," a circle containing the letter ‘E’ followed by the distinguishing number of the country granting approval,"
subpara,13.4.2., the number of this Regulation placed to the right of the circle referred to in paragraph 13.4.1.
subpara,13.5.,"If the vehicle conforms to a vehicle type approved, under another (other) Regulation(s) annexed to the Agreement, in the same country as that which has granted the approval under this Regulation, the symbol referred to in paragraph 13.4 need not be repeated; in this case, the additional numbers and symbols of all the Regulations under which approval has been granted in the country which granted the approval under this Regulation shall be set out in vertical columns to the right of the symbol referred to in paragraph 13.4."
subpara,13.6.,The approval mark must be clearly legible and indelible.
subpara,13.7.,The approval mark shall be placed near the plate bearing the characteristics of the vehicle and may also be affixed to this plate.
subpara,13.8.,"Annex 3, Section II, to this Regulation gives an example of the arrangement of the approval mark."
subpara,13.9.,The competent authority shall verify the existence of satisfactory arrangements for ensuring effective control of the conformity of production before type approval is granted.
Para,14.,SPECIFICATIONS The vehicle shall comply with the following specifications:
subpara,14.1.," The audible warning device(s) (or system) fitted on the vehicle shall be of a type approved under this Regulation; Audible warning devices of Class II approved under this Regulation in its original form, and therefore not bearing the symbol II in their approval mark, may continue to be fitted to vehicle types submitted for approval pursuant to this Regulation."
subpara,14.2., The test voltage shall be as specified in paragraph 6.2.3 of the Regulation;
subpara,14.3., The sound pressure measurements shall be made in the conditions specified in paragraph 6.2.2 of this Regulation;
subpara,14.4.," The A-weighted sound pressure level emitted by the device fitted on the vehicle shall be measured at a distance of 7 m in front of the vehicle, the latter being placed on an open site, on ground as smooth as possible and, in the case of devices supplied with direct current, with its engine stopped;"
subpara,14.5., The microphone of the measuring instrument shall be placed approximately in the mean longitudinal plane of the vehicle;
subpara,14.6., The sound pressure level of the background noise and wind noise must be at least 10 dB (A) below the sound to be measured;
subpara,14.7.," The maximum sound-pressure level shall be sought within the range of 0,5 and 1,5 m above the ground;"
subpara,14.8.," Measured under the conditions specified in paragraphs 14.2 to 14.7, the maximum sound-pressure level (14.7) of the audible signal tested shall be at least: (a) equal to 83 dB(A) and not more than 112 dB(A) for the signals of motor cycles of a power less than or equal to 7 kW; (b) equal to 93 dB(A) and at most 112 dB(A) for the signals of vehicles of categories M and N and motor cycles of a power greater than 7 kW."
Para,15.,MODIFICATIONS OF VEHICLE TYPE AND EXTENSION OF APPROVAL
subpara,15.1.,Any modification of the vehicle type shall be notified to the administrative department which granted approval to the vehicle type. This department may then:
subpara,15.1.1., either take the view that the modifications made are not likely to have any appreciable adverse effect and that in any case the vehicle still meets the requirements; or
subpara,15.1.2., call for a new report from the technical service responsible for the tests.
subpara,15.2.,"Notice of confirmation of approval with particulars of the modifications, or of refusal of approval shall be communicated to the Parties to the Agreement applying this Regulation, in accordance with the procedure indicated in paragraph 13.3 above."
subpara,15.3.,The competent authority issuing the extension of approval shall assign a series number to each communication form drawn up for such an extension.
Para,16.,"CONFORMITY OF PRODUCTION The conformity of production procedures shall comply with those set out in the Agreement, Appendix 2 (E/ECE/324-E/ECE/TRANS/505/Rev.2) with the following requirements:"
subpara,16.1., A vehicle approved under this Regulation shall be so manufactured as to conform to the type approved by meeting the requirements set forth in paragraph 14 above.
subpara,16.2., The authority which has granted type approval may at any time verify the conformity control methods applied in each production facility. The normal frequency of these verifications shall be once every 2 years.
Para,17.,PENALTIES FOR NON-CONFORMITY OF PRODUCTION
subpara,17.1.,"The approval granted to a vehicle type pursuant to this Regulation may be withdrawn if the conditions set forth in paragraph 16.1 above are not complied with, or if the vehicle fails to pass the checks referred to in paragraph 16.2 above."
subpara,17.2.,"Should a Party to the Agreement applying this Regulation withdraw an approval which it has previously granted, it shall forthwith notify the other Contracting Parties applying this Regulation by means of a copy of the approval form bearing at the end in large letters the statement, signed and dated: ‘APPROVAL WITHDRAWN’."
Para,18.,"NAMES AND ADDRESSES OF THE TECHNICAL SERVICES CONDUCTING APPROVAL TESTS AND OF ADMINISTRATIVE DEPARTMENTS The Parties to the Agreement applying this Regulation shall communicate to the United Nations Secretariat the names and addresses of the technical services responsible for approval tests and of the administrative departments which grant approval and to which forms certifying approval or refusal or withdrawal of approval, issued in other countries, are to be sent."
