Capitel,Index,Text
subpara,7.1.1.,"In the case of a lamp with replaceable light source, if not supplied by an electronic light source control gear, with an uncoloured standard light source of the category prescribed for the device, supplied with the voltage: (a) in the case of filament lamp(s), that is necessary to produce the reference luminous flux required for that category of filament lamp; (b) in the case of LED light sources of 6,75 V, 13,5 V or 28,0 V; the luminous flux value produced shall be corrected. The correction factor is the ratio between the objective luminous flux and the mean value of the luminous flux found at the voltage applied."
subpara,7.1.2.,"In the case of a lamp equipped with non-replaceable light sources (filament lamps and other), at 6,75 V, 13,5 V or 28,0 V respectively."
subpara,7.1.3.,"In the case of a system that uses an electronic light source control gear, being part of the lamp (3) applying at the input terminals of the lamp the voltage declared by the manufacturer or, if not indicated, 6,75 V, 13,5 V or 28,0 V respectively."
subpara,7.1.4.,In the case of a system that uses an electronic light source control gear not being part of the lamp the voltage declared by the manufacturer shall be applied to the input terminals of the lamp.
subpara,7.2.,The Technical Service shall require from the manufacturer the light source control gear needed to supply the light source and the applicable functions.
subpara,7.3.,"The voltage to be applied to the lamp shall be indicated in the communication form, specified in Annex 1 of this Regulation."
subpara,7.4.,"For any lamp, except those equipped with filament lamps, the luminous intensities measured after one minute and after 30 minutes of operation, shall comply with the minimum and maximum requirements. The luminous intensity distribution after one minute of operation can be calculated from the luminous intensity distribution after 30 minutes of operation by applying at each test point the ratio of luminous intensities measured at HV after one minute and after 30 minutes of operation."
subpara,7.5.,The limits of the apparent surface in the direction of the reference axis of a light-signalling device shall be determined.
Para,8.,"COLOUR OF LIGHT EMITTED In the case of reversing lamps the colour of the light emitted inside the field of the light distribution grid defined at paragraph 2 of Annex 3 shall be white. In the case of manoeuvring lamps the colour of the light emitted inside the field of the whole light distribution shall be white. To check these colorimetric characteristics, the test procedure described in paragraph 7 of this Regulation shall be applied. Outside this field no sharp variation of colour shall be observed. However, for lamps equipped with non-replaceable light sources (filament lamps and other), the colorimetric characteristics should be verified with the light sources present in the lamp, in accordance with relevant subparagraphs of paragraph 7.1 of this Regulation."
Para,9.,"CONFORMITY OF PRODUCTION The conformity of production procedures shall comply with those set out in the Agreement, Appendix 2 (E/ECE/324-E/ECE/TRANS/505/Rev.2), with the following requirements:"
subpara,9.1.,Lamps approved under this Regulation shall be so manufactured as to conform to the type approved by meeting the requirements set forth in paragraphs 6 and 8 above.
subpara,9.2.,The minimum requirements for conformity of production control procedures set forth in Annex 4 to this Regulation shall be complied with.
subpara,9.3.,The minimum requirements for sampling by an inspector set forth in Annex 5 to this Regulation shall be complied with.
subpara,9.4.,The Type Approval Authority which has granted type approval may at any time verify the conformity control methods applied in each production facility. The normal frequency of these verifications shall be once every two years.
Para,10.,PENALTIES FOR NON-CONFORMITY OF PRODUCTION
subpara,10.1.,The approval granted in respect of a type of reversing lamp or manoeuvring lamps pursuant to this Regulation may be withdrawn if the foregoing requirements are not complied with or if the reversing lamp or manoeuvring lamps bearing the mark referred to in paragraphs 4.3.1 and 4.3.2 do not conform to the type approved.
subpara,10.2.,"If a Contracting Party to the Agreement which applies this Regulation withdraws an approval it has previously granted, it shall forthwith so notify the other Contracting Parties applying this Regulation, by means of a communication form conforming to the model in Annex 1 to this Regulation."
Para,11.,"PRODUCTION DEFINITIVELY DISCONTINUED If the holder of the approval completely ceases to manufacture a type of reversing lamp or manoeuvring lamps approved in accordance with this Regulation, he shall so inform the Type Approval Authority which granted the approval. Upon receiving the relevant communication, that Type Approval Authority shall inform thereof the other Parties to the 1958 Agreement which apply this Regulation by means of a communication form conforming to the model in Annex 1 to this Regulation."
Para,12.,"NAMES AND ADDRESSES OF THE TECHNICAL SERVICES RESPONSIBLE FOR CONDUCTING APPROVAL TESTS, AND OF TYPE APPROVAL AUTHORITIES The Parties to the 1958 Agreement which apply this Regulation shall communicate to the United Nations secretariat the names and addresses of the Technical Services responsible for conducting approval tests and of the Type Approval Authorities which grant approval and to which forms certifying approval or extension or refusal or withdrawal of approval, or production definitively discontinued issued in other countries, are to be sent. ANNEX 1 COMMUNICATION (Maximum format: A4 (210 × 297 mm)) concerning (1)
 Approval granted Approval extended Approval refused Approval withdrawn Production definitively discontinued of a type of reversing lamp pursuant to Regulation No 23 Approval No … Extension No … of a type of manoeuvring lamp pursuant to Regulation No 23 Approval No … Extension No …"
subpara,1., Trade name or mark of the device: …
subpara,2., Manufacturer’s name for the type of device: …
subpara,3., Manufacturer’s name and address: …
subpara,4.," If applicable, name and address of the manufacturer’s representative: …"
subpara,5., Submitted for approval on: …
subpara,6., Technical Service responsible for conducting approval tests: …
subpara,7., Date of report issued by that Service: …
subpara,8., Number of report issued by that Service: …
subpara,9.," Concise description: Number, category and kind of light source(s): … Voltage and wattage:… Application of an electronic light source control gear: (a) Being part of the lamp: yes/no (1)
 (b) Being not part of the lamp: yes/no (1)
 Input voltage(s) supplied by an electronic light source control gear: Electronic light source control gear manufacturer and identification number (when the light source control gear is part of the lamp but is not included into the lamp body): … Light source module: yes/no (1)
 Light source module specific identification code: … Geometrical conditions of installation and relating variations; if any: … For a type of manoeuvring lamp pursuant to Regulation No 23 paragraph 6.2.2 Maximum mounting height: …"
subpara,10., Position of the approval mark: …
subpara,11.," Comments: In the case of a reversing lamp, this device shall be installed on a vehicle only as part of a pair of devices: yes/no (1) …"
subpara,12., Reason(s) for extension (if applicable): …
subpara,13.," Approval granted/extended/refused/withdrawn (1)
"
subpara,14., Place: …
subpara,15., Date: …
subpara,16., Signature: …
subpara,17., The list of documents deposited with the Type Approval Authority which has granted approval is annexed to this communication and may be obtained on request. ANNEX 2 EXAMPLES OF ARRANGEMENTS OF APPROVAL MARKS
Para,,Model A
Para,,"Optional The device bearing the approval mark shown above is a reversing lamp approved in the Netherlands (E 4) pursuant to Regulation No 23 under approval number 221. The approval number indicates that the approval was granted in accordance with the requirements of Regulation No 23 in its original form or as amended by Supplements 1 and/or 2, as the case may be. The arrow indicates the side on which the required photometric specifications are met up to an angle of 45° H. 
Note: The approval number and additional symbol shall be placed close to the circle and either above or below the letter ‘E’ or to the left or right of that letter. The digits of the approval number and of the production serial number shall be on the same side of the letter ‘E’ and face the same direction. The use of Roman numerals as approval numbers should be avoided so as to prevent any confusion with other symbols."
Para,,"
Figure 2
"
Para,,"
Simplified marking for grouped, combined or reciprocally incorporated lamps
 The vertical and horizontal lines schematise the shape of the light-signalling device. These are not part of the approval mark."
Para,,Model B
Para,,Model C
Para,,"Model D 
Note: The three examples of approval marks, models B, C and D represent three possible variables for the marking of a lighting device when two or more lamps are part of the same assembly of grouped, combined or reciprocally incorporated lamps. This approval mark shows that the device was approved in the Netherlands (E 4) under approval number 3333 and comprising:   A retro-reflector of class IA approved in accordance with the 02 series of amendments to Regulation No 3;   A rear direction indicator lamp of category 2a approved in accordance with the 01 series of amendments to Regulation No 6;   A red rear position lamp (R) approved in accordance with the 01 series of 1amendments to Regulation No 7;   A rear fog lamp (F) approved in accordance with Regulation No 38 in its original form;   A reversing lamp (AR) approved in accordance with Regulation No 23 in its original form;   A stop lamp with two levels of illumination (S2) approved in accordance with the 01 series of amendments to Regulation No 7."
Para,,Model E
Para,,"Marking of independent lamps The above example corresponds to the marking of a lens intended to be used in different types of lamps. The approval marks indicate that the device was approved in Spain (E9) under approval number 1432 and comprises:   A rear fog lamp (F) approved in accordance with the Regulation No 38 in its original version,   A rear direction indicator lamp of category 2a approved in accordance with the 01 series of amendments to Regulation No 6,   A reversing lamp (AR) approved in accordance with Regulation No 23 in its original version,   A red rear position (side) lamp (R) approved in accordance with the 02 series of amendments to Regulation No 7,   A stop-lamp with one level of illumination (S1) approved in accordance with the 02 series of amendments to Regulation No 7."
Para,,"
Figure 3
"
Para,,"
Light source modules
 The light source module bearing the identification code shown above has been approved together with a lamp approved in Italy (E 3) under approval number 17325."
Para,,"
Figure 4
"
Para,,"
Marking for manoeuvring lamps
 The device bearing the approval mark shown above is a manoeuvring lamp approved in Germany (E 1) pursuant to Regulation No 23 under approval number 2207. The approval number indicates that the approval was granted in accordance with the requirements of Regulation No 23 in its original form. 
Note: The approval number and additional symbol shall be placed close to the circle and either above or below the letter ‘E’ or to the left or right of that letter. The digits of the approval number and of the production serial number shall be on the same side of the letter ‘E’ and face the same direction. The use of Roman numerals as approval numbers should be avoided so as to prevent any confusion with other symbols. ANNEX 3 PHOTOMETRIC MEASUREMENTS"
Para,1.,Measurement methods general
subpara,1.1.,"When photometric measurements are taken, stray reflections shall be avoided by appropriate masking."
subpara,1.2.,"In the event that the results of measurements are challenged, measurements shall be taken in such a way as to meet the following requirements:"
subpara,1.2.1.,The distance of measurement shall be such that the law of the inverse of the square of the distance is applicable;
subpara,1.2.2.,The measuring equipment shall be such that the angle subtended by the receiver from the reference centre of the light is between 10' and 1°;
subpara,1.2.3.,The intensity requirement for a particular direction of observation shall be satisfied if the required intensity is obtained in a direction deviating by not more than one quarter of a degree from the direction of observation.
subpara,1.3.,In the case where the device may be installed on the vehicle in more than one or in a field of different positions the photometric measurements shall be repeated for each position or for the extreme positions in the field of reference axis specified by the manufacturer.
subpara,2.,For reversing lamps the measuring points expressed in degrees of angle with the axis of reference and values of the minimum intensities of the light emitted.
subpara,2.1.,"The directions H = 0° and V = 0° correspond to the axis of reference. On the vehicle they are horizontal, parallel to the median longitudinal plane of the vehicle and oriented in the required direction of visibility. They pass through the centre of reference. The values shown in the table give, for the various directions of measurement, the minimum intensities in cd."
subpara,2.2.,"If visual examination of a lamp appears to reveal substantial local variations of intensity, a check shall be made to ensure that no intensity measured between two of the directions of measurement referred to above is below 50 % of the lower minimum intensity of the two prescribed for these directions of measurement."
Para,3.,Photometric measurement of lamps equipped with several light sources The photometric performance shall be checked:
subpara,3.1.,"For non-replaceable light sources (filament lamps and other): With the light sources present in the lamp, in accordance with relevant subparagraphs of paragraph 7.1 of this Regulation."
subpara,3.2.,"For replaceable light source(s): When equipped with light source(s) at 6,75 V, 13,5 V or 28,0 V, the luminous intensity values produced shall be corrected. For filament lamps the correction factor is the ratio between the reference luminous flux and the mean value of the luminous flux found at the voltage applied (6,75 V, 13,5 V or 28,0 V). For LED light sources the correction factor is the ratio between the objective luminous flux and the mean value of the luminous flux found at the voltage applied (6,75 V, 13,5 V or 28,0 V). The actual luminous fluxes of each filament lamp and/or LED light source used shall not deviate more than 5 % from the mean value. Alternatively and in case of filament lamps only, a standard filament lamp may be used in turn, in each of the individual positions, operated at its reference flux, the individual measurements in each position being added together. ANNEX 4 MINIMUM REQUIREMENTS FOR CONFORMITY OF PRODUCTION CONTROL PROCEDURES"
Para,1.,General
subpara,1.1.,"The conformity requirements shall be considered satisfied from a mechanical and geometric standpoint, if the differences do not exceed inevitable manufacturing deviations within the requirements of this Regulation."
subpara,1.2.,"With respect to photometric performances, the conformity of mass-produced lamps shall not be contested if, when testing photometric performances of any lamp chosen at random according to paragraph 7 of this Regulation, respectively:"
subpara,1.2.1.,No measured value deviates unfavourably by more than 20 % from the values prescribed in this Regulation.
subpara,1.2.2.,"If, in the case of a lamp equipped with a replaceable light source and if results of the test described above do not meet the requirements, tests on lamps shall be repeated using another standard light source."
subpara,1.3.,The chromaticity coordinates shall be complied when tested under conditions of paragraph 7 of this Regulation.
Para,2.,"Minimum requirements for verification of conformity by the manufacturer For each type of lamp the holder of the approval mark shall carry out at least the following tests, at appropriate intervals. The tests shall be carried out in accordance with the provisions of this Regulation. If any sampling shows non-conformity with regard to the type of test concerned, further samples shall be taken and tested. The manufacturer shall take steps to ensure the conformity of the production concerned."
Para,2.1.,Nature of tests Tests of conformity in this Regulation shall cover the photometric and colorimetric characteristics.
Para,2.2.,Methods used in tests
subpara,2.2.1.,Tests shall generally be carried out in accordance with the methods set out in this Regulation.
subpara,2.2.2.,"In any test of conformity carried out by the manufacturer, equivalent methods may be used with the consent of the competent Type Approval Authority responsible for approval tests. The manufacturer is responsible for proving that the applied methods are equivalent to those laid down in this Regulation."
subpara,2.2.3.,The application of paragraphs 2.2.1 and 2.2.2 above requires regular calibration of test apparatus and its correlation with measurements made by a competent authority.
subpara,2.2.4.,"In all cases the reference methods shall be those of this Regulation, particularly for the purpose of administrative verification and sampling."
Para,2.3.,"Nature of sampling Samples of lamps shall be selected at random from the production of a uniform batch. A uniform batch means a set of lamps of the same type, defined according to the production methods of the manufacturer. The assessment shall in general cover series production from individual factories. However, a manufacturer may group together records concerning the same type from several factories, provided these operate under the same quality system and quality management."
Para,2.4.,Measured and recorded photometric characteristics The sampled lamp shall be subjected to photometric measurements for the minimum values at the points listed in Annex 3 and the required chromaticity coordinates.
Para,2.5.,"Criteria governing acceptability The manufacturer is responsible for carrying out a statistical study of the test results and for defining, in agreement with the competent Type Approval Authority, criteria governing the acceptability of his products in order to meet the specifications laid down for verification of conformity of products in paragraph 9.1 of this Regulation. The criteria governing the acceptability shall be such that, with a confidence level of 95 %, the minimum probability of passing a spot check in accordance with Annex 5 (first sampling) would be 0,95. ANNEX 5 MINIMUM REQUIREMENTS FOR SAMPLING BY AN INSPECTOR"
Para,1.,General
subpara,1.1.,"The conformity requirements shall be considered satisfied from a mechanical and a geometric standpoint, in accordance with the requirements of this Regulation, if any, if the differences do not exceed inevitable manufacturing deviations."
subpara,1.2.,"With respect to photometric performances, the conformity of mass-produced lamps shall not be contested if, when testing photometric performances of any lamp chosen at random according to paragraph 7 of this Regulation, respectively:"
subpara,1.2.1.,No measured value deviates unfavourably by more than 20 % from the values prescribed in this Regulation.
subpara,1.2.2.,"If, in the case of a lamp equipped with a replaceable light source and if results of the test described above do not meet the requirements, tests on lamps shall be repeated using another standard light source."
subpara,1.2.3.,Lamps with apparent defects are disregarded.
subpara,1.3.,The chromaticity coordinates shall be complied when tested under conditions of paragraph 7 of this Regulation.
Para,2.,"First sampling In the first sampling four lamps are selected at random. The first sample of two is marked A, the second sample of two is marked B."
Para,2.1.,The conformity is not contested
subpara,2.1.1.,Following the sampling procedure shown in Figure 1 of this annex the conformity of mass-produced lamps shall not be contested if the deviations of the measured values of the lamps in the unfavourable directions are:
subpara,2.1.1.1.,Sample A  
subpara,2.1.1.2.,Sample B
subpara,2.1.2.,"Or, if the conditions of paragraph 1.2.2 above for sample A are fulfilled."
Para,2.2.,The conformity is contested
subpara,2.2.1.,Following the sampling procedure shown in Figure 1 of this annex the conformity of mass-produced lamps shall be contested and the manufacturer requested to make his production meet the requirements (alignment) if the deviations of the measured values of the lamps are:
subpara,2.2.1.1.,Sample A
subpara,2.2.1.2.,Sample B    
subpara,2.2.2.,"Or, if the conditions of paragraph 1.2.2 above for sample A are not fulfilled."
Para,2.3.,"Approval withdrawn Conformity shall be contested and paragraph 10 of this Regulation applied if, following the sampling procedure in Figure 1 of this annex, the deviations of the measured values of the lamps are:"
subpara,2.3.1.,Sample A
subpara,2.3.2.,Sample B      
subpara,2.3.3.,"Or, if the conditions of paragraph 1.2.2 above for samples A and B are not fulfilled."
Para,3.,"Repeated sampling In the cases of A3, B2, B3 a repeated sampling, third sample C of two lamps and fourth sample D of two lamps, selected from stock manufactured after alignment, is necessary within two months' time after the notification."
Para,3.1.,The conformity is not contested
subpara,3.1.1.,Following the sampling procedure shown in Figure 1 of this annex the conformity of mass-produced lamps shall not be contested if the deviations of the measured values of the lamps are:
subpara,3.1.1.1.,Sample C  
subpara,3.1.1.2.,Sample D  
subpara,3.1.2.,"Or, if the conditions of paragraph 1.2.2 above for sample C are fulfilled."
Para,3.2.,The conformity is contested
subpara,3.2.1.,Following the sampling procedure shown in Figure 1 of this annex the conformity of mass-produced lamps shall be contested and the manufacturer requested to make his production meet the requirements (alignment) if the deviations of the measured values of the lamps are:
subpara,3.2.1.1.,Sample D  
subpara,3.2.1.2.,"Or, if the conditions of paragraph 1.2.2 above for sample C are not fulfilled."
Para,3.3.,"Approval withdrawn Conformity shall be contested and paragraph 10 of this Regulation applied if, following the sampling procedure in Figure 1 of this annex, the deviations of the measured values of the lamps are:"
subpara,3.3.1.,Sample C
subpara,3.3.2.,Sample D  
