Index,Text
25-3.2.21.1,"""Safety glazing material requisite for the driver's forward field of vision"" means all the glazing situated in front of a plane passing through the driver's R point and perpendicular to the longitudinal median plane of the vehicle through which the driver can view the road when driving or manoeuvring the vehicle."
25-3.2.21.2,"""Safety glazing material requisite for the driver's rearward field of vision"" means all glazing situated behind a plane passing through the driver's R point and perpendicular to the longitudinal median plane of the vehicle through which the driver can view the road when driving or manoeuvring the vehicle."
25-3.2.22,"""Opaque obscuration"" means any area of the glazing preventing light transmission, including any screen-printed area, whether solid or dot-printed, but excluding any shade band."
25-3.2.23,"""Shade band"" means any area of the glazing with a reduced light transmittance, excluding any opaque obscuration."
25-3.2.24,"""Transparent area of the windscreen"" means the glazing area contained within the design glass outline, excluding any allowed opaque obscuration, but including any shade band."
25-3.2.25,"""Design glass outline"" means the design maximum unobstructed vehicle aperture designated to be glazed, before the glazing is installed or mounted, including all trims, but excluding obscuration bands."
25-3.2.26,"""Optical distortion"" means an optical defect in a windscreen that changes the appearance of an object viewed through the windscreen."
25-3.2.27,"""Secondary image"" means a spurious or ghost image, in addition to the bright primary image, usually seen at night when the object being viewed is very bright in relation to its surroundings, for example, the headlights of an approaching vehicle."
25-3.2.28,"""Secondary image separation"" means the angular distance between the position of the primary and secondary images."
25-3.2.29,"""Regular light transmittance"" means light transmittance measured perpendicularly to the glazing."
25-3.2.30,"""Design seat-back angle"" means the angle between the vertical line through the R point and the torso line defined by the vehicle  manufacturer."
25-3.2.31,"""Sample"" means a specially prepared piece of glazing representative of a finished product or a piece cut from a finished product."
25-3.2.32,"""Test piece"" means a sample or a finished product of glazing."
25-3.2.33,"""Central driving position"" is defined when Y co-ordinate of the R point is in Y0 position within + or -60 mm."
25-3.2.34,"""Bodywork"" means the external structure of the motor vehicle which comprises of fenders, doors, pillars, side walls, roof, floor, front bulkhead, rear bulkhead and/or other external panels"
25-3.2.35,"""Small glazing"" is a pane having an area of less than 200 cm2 and within which it is not possible to inscribe a circle having a diameter of 150 mm."
25-3.2.36,"""Principal characteristic"" means a characteristic that appreciably modifies the optical and/or mechanical properties of a safety glazing material in a way not without significance to the function which it is intended to perform in a vehicle. The term also covers the trade names or marks as specified by the holder of the approval (see Table 2)."
25-3.2.37,"""Secondary characteristic"" means a characteristic capable of modifying the optical and/ or mechanical properties of a safety glazing material in a way which is of significance to the function which it is intended to perform in a vehicle. The extent of such modification is assessed in relation to the indices of difficulty (see Table 3)."
25-3.2.38,"The term ""indices of difficulty"" covers a two-stage grading system applying to the variations observed in practice in each secondary characteristic. A change from index ""1"" to index ""2"" indicates the need for additional tests (see Table 4)."
25-3.3,Safety Glass and its installed stipulation
25-3.3.1,The safety glass of installed stipulation
25-3.3.1.1,"Safety glazing shall be fitted in such a way that, despite the stresses to which the vehicles submitted under normal operating conditions, it remains in position and continues to afford visibility and safety to the occupants of the vehicle; "
25-3.3.1.2,The category M and N of vehicles of stipulation
25-3.3.1.2.1,Windscreens
25-3.3.1.2.1.1,The regular light transmittance shall not be less than 70 per cent.
25-3.3.1.2.1.2,The windscreen must be correctly fitted with reference to the vehicle driver's 'R' point.
25-3.3.1.2.2,Safety glass except for windscreens.
25-3.3.1.2.2.1,The safety glazing through which the driver's forwards field of visionp» must have a regular light transmittance of at least 70 per cent.
25-3.3.1.2.2.2,"The safety glazing must have a light transmittance of at least 70 per cent, but where two exterior rear view mirrors are fitted, the glazing is allowed to have a light transmittance below 70 per cent."
25-3.3.1.3,Particular requirements for upper deck of a double-deck vehicle
25-3.3.1.3.1,The front exterior forward-facing glazing of the upper deck of a double-deck vehicle shall be constituted either by laminated glass or a plastic pane.
25-3.3.2,"The safety glass panes shall be subjected to the tests listed in the following table. For ""rigid plastic windscreens"", ""laminated rigid plastic panes"" and ""laminated rigid plastic windscreens"" of safety glasses, the applicant could choose either Taber test or the set of sand drop, carwash and wiper test.  Scope Tests Windscreen Glass panes other than windscreens laminated-glass windscreens (L) Rigid plastic windscreens Laminated rigid plastic windscreens Glass- plastics windscreens Toughened-glass panes (T) Laminated- glass panes (L) Rigid plastic panes Rigid plastic multiple glazed units Flexible plastic panes Laminated rigid plastic panes Safety glazing faced with plastics material (on the inside) Glass-plastics panes Thickness test Fragmentation test --- --- --- --- *2 --- --- --- --- --- --- --- 227 g ball test --- 2260 g ball test --- --- --- --- --- --- --- --- --- Headform test --- --- *3 *3 --- --- --- Test of resistance to abrasion *5 *5 --- *4 *4 --- *4*5 Test of resistance to high temperature --- --- --- --- --- --- Resistance-to-radiation test --- --- --- --- --- --- Resistance-to-humidity test --- --- Light-transmission test --- Optical-distortion test --- --- --- --- --- --- --- --- Secondary-image-separation test --- --- --- --- --- --- --- ---  Test of flexible --- --- --- --- --- --- Resistance to simulated weathering --- --- --- --- --- --- Test of resistance to temperature changes --- --- --- --- --- --- --- --- Burning behaviour (fire-resistance) test --- --- --- Note 1: laminated-glass panea glass pane consisting of one layers of glass held together by multiple interlayers of plastics material; 2a glass pane consisting of a single layer of glass which has been subjected to special treatment to increase its mechanical strength and to condition its fragmentation after shattering; 3For panes which do not have contact possibilities as well as a 150 mm diameter circle cannot be scribed, both of them will be exempt from the requirement. 4For sun roofs, no test is required. 5Plastic glazing materials either Taber test or the set of sand drop, carwash and wiper test."
25-3.4,Safety Glass shall according to suitable types and range of principle as belowpÉ
25-3.4.1,Trade name
25-3.4.2,"Category of glass (toughened-glass, laminated-glass, rigid plastic panes, rigid plastic multiple glazed units, flexible plastic panes, laminated rigid plastic panes, safety glazing faced with plastics material(on the inside) and glass-plastics panes)"
25-3.4.3,Nominal thickness
25-3.5,Thickness test:
25-3.5.1,"for the Laminated glass including laminated-glass pane, laminated-glass windscreens, the nominal thickness can bear a tolerance of 0.2 (n) mm, where n is the number of layers of glass."
25-3.5.2,"For the toughened-glass pane, glass-plastics windscreens and glass-plastics panes the tolerance of can reach 0.2 mm. "
25-3.5.3,"For Rigid plastic glazings including rigid plastic windscreensand rigid plastic double glazed units, The thickness tolerance limit of the nominal thickness. for extruded plastic products is +/ - 10 % of the nominal thickness. For plastic products produced by other techniques (e.g. cast acrylic sheet), the acceptable thickness tolerance is given by the equation (thickness tolerance limits (mm) = +/- (0.4 + 0.1 e) where e is the sheet thickness in mm."
25-3.5.4,"Flexible plastic glazings , a manufacturing tolerance of the nominal thickness being allowed: is +/- (0.1 mm + 0.1e) where e is the sheet thickness in mm."
25-3.5.5,"For laminated rigid plastic panesincluding Laminated rigid plastic windscreens,the nominal thickness of the pane, a manufacturing tolerance of being allowed ('n' being the number of layers of rigid plastic in the windscreen and x is the manufacturing tolerance of the single rigid plastic sheets in the pane."
25-3.5.6,"For safety glazing faced with plastics material (on the inside), it could regard layers of plastic as toughened-glass or laminated-glass panes, the tolerance of nominal thickness shall according  Paragraph- Paragraph-."
25-3.6,Fragmentation test:
25-3.6.1,"Number of samples: By using the complete products, four samples per set in the case of flat glass panes, or four samples per set in the case of curved glass panes that radius of curvature ""r"" is equal or more than 200 mm, or eight samples per set in the case of curved glass panes that radius of curvature ""r"" is less than 200 mm. Treated laminated-glass windscreens, One test piece measuring (1,100 x 500 mm) +5/-2 mm or one sample for each point of impact shall be subjected to testing."
25-3.6.1.1,For flat glass panes the points of impact represented respectively in figure7(a) and (b). For curved glass panes the points of impact represented in figure7-1 Paragraph- A hammer of about 75 g or some other appliance giving equivalent results shall be used. The radius of curvature of the point shall be 0.2 +/- 0.05 mm. The fragmentation test should be held compliant with the following regulations:
25-3.6.2.1,Treated laminated-glass windscreens : 
25-3.6.2.1.1,"For each point of impact the fragmentation test shall be considered to have given a satisfactory result if the total surface area of fragments having a surface area of more than 2 cm2 comprised in a rectangle asat least 20 cm high and 50m long, represents not less than 15 per cent of the surface of that rectangle."
25-3.6.2.1.2,In the case of a sample:
25-3.6.2.1.2.1,"For vehicles of category M1, the centre of the rectangle shall be situated within a circle having a radius of 10 cm centred on the projection of the middle of segment V1 V2."
25-3.6.2.1.2.2,"For vehicles of categories M and N other than M1, the centre of the rectangle shall be situated within a circle having a radius of 10 cm centred on the projection of point 0."
25-3.6.2.1.2.3,The height of the above rectangle may be reduced to 15 cm for windscreens which are less than 44 cm high or whose angle of installation is less than 15 degrees from the vertical; the percentage of visibility shall at least be equal to 10 per cent of the area of Material Index of difficulty the corresponding rectangle.
25-3.6.2.1.3,"In the case of a test piece, the centre of the rectangle shall be situated on the greater axis of the test piece at 450 mm from one of its edges."
25-3.6.2.1.4,"When the test having been repeated on a new set of four test pieces for each point of impact for which it had originally given an unsatisfactory result, then four new tests performed at the same impact points shall be conducted and shall all give a satisfactory result."
25-3.6.2.2,For the toughened-glass pane not for use for windshield
25-3.6.2.2.1,"The number of fragments in any 5cm x 5 cm square is not less than 40, A fragment extending across a side of a square shall count as half a fragment."
25-3.6.2.2.2,"Fragmentation shall not be checked in a strip 20 mm wide round the edge of the samples, this strip representing the frame of the glass; nor within a radius of 75 mm from the point of impact. When a fragment extends beyond the excluded  area only the part of the fragment falling outside of the area shall be assessed. Fragments of an area exceeding 3 cm2 shall not be allowed."
25-3.6.2.2.3,"A few fragments of elongated shape shall be allowed, provided that: their ends are not converge to a point, if they extend to the edge of the glass pane they do not form an angle of more than 45 degrees with it, and if, except in the case provided for in paragraph 25-2.6.2.4 below, their length does not exceed 100 mm."
25-3.6.2.2.4,Three of the four tests carried out at each of the points of impact above-mentioned have given a satisfactory result.
25-3.6.2.2.5,"If the above-mentioned deviations are found, they shall be noted in the test report and permanent recording(s) of the fragmentation pattern of the relevant parts of the glass pane shall be attached to the report."
25-3.7,227 g ball test:
25-3.7.1,Test piece: The test piece shall be a flat square of side 300 +10/-0 mm
25-3.7.2,"Condition the test piece at 23+/- 2 for at least four hoursRigid plastic glazings and flexible plastic glazings must be stored for 48 hoursrigid plastic double glazed units must be stored for 24 hours immediately preceding the test. The test is processed using a hardened-steel ball with a mass of 227 +/- 2 g and a diameter of approximately 38mm, and dropping the ball freely from a height specified in the following table or giving the ball a velocity equivalent to that obtained by the free fall. The point of impact shall be within 25 mm of the geometric centre of the test piece for a drop height less than or equal to 6 m, and within 50 mm of the centre of the test piece for a drop height greater than 6 m. The ball shall strike that face of the test piece, which represents the outside face of the safety-glazing pane when mounted on the vehicle."
25-3.7.2.1,"The test conditions of laminated-glass pane ,glass-plastics panes are tabulated as below:  Scope Amount of Tested Specimens/ Permitted first tested of un-satisfactory result Height of fall(m) Nominal thickness e (mm) Temperature (OC) 402 -202 205 Windscreen 10 / 2 6.5 <e 9 9 9 9 8.5 8.5 8.5 8.5 - Glass panes other than windscreen 8 / 2 6.5 <e - - 9m+25-0mm 9m+25-0mm 9m+25-0mm glass-plastics panes 8 / 2 4.5 <e - - 9m+25-0mm 9m+25-0mm 9m+25-0mm"
25-3.7.2.2,"A satisfactory result for laminated-glass pane ,glass-plastics panes:"
25-3.7.2.2.1,"Windscreen The ball does not pass through the test piece and the test piece does not break into several pieces. If the interlayer is not torn, the weight of fragments detached from the side of the glass opposite to the point of impact must not exceed the appropriate values specified in the table below:"
25-3.7.2.2.1.1,glass-plastics windscreensThe ball does not pass through the test piece and the test piece does not break into several pieces.
25-3.7.2.2.2,Glass panes other than windscreen
25-3.7.2.2.2.1,The ball does not pass through the test piece.
25-3.7.2.2.2.2,The test piece does not break into several pieces. 
25-3.7.2.2.2.3,"At the point immediately opposite the point of impact, small fragments of glass may leave the specimen, but the small area thus affected shall expose less than 645 mm2 of reinforcing or strengthening material, the surface of which shall always be well covered with tiny particles of tightly adhering glass. Total separation of glass from the reinforcing or strengthening material shall not exceed 1,935 mm2 on either side. Spalling of the outer glass surface opposite the point of impact and adjacent to the area of impact is not to be considered a failure. Scope Nominal thickness e (mm) Maximum permitted mass of the fragments, (g) windscreen 6.5 <e 12 15 20 25 Glass panes other than windscreen 15 A set of test pieces submitted for approval shall be considered satisfactory from the point of view of the 227 g ball test if at least eight of the ten tests carried out windscreen at each temperature, or at least six of the ten tests carried out glass panes other than windscreen at each temperature, have given a satisfactory result."
25-3.7.2.3,"Six test pieces shall be subjected to testing for each thickness category, and the test condition is tabulated as follows: Type Nominal thickness e (mm) Height of drop (m) Toughened-glass pane e > 3.5 2. 0m +5-0 mm 2. 0m +5-0 mm"
25-3.7.2.4,The test shall be deemed to have given a satisfactory result if at least five of the test pieces do not break..
25-3.7.2.5,"Test conditions of rigid plastic glazings and rigid plastic double glazed units are listed in the table below:  Scope Amount of Tested Specimens/ Amount of Qualified Specimens Height of fall(m) Nominal thickness e (mm) Temperature (OC) -182 232 rigid plastic glazings and rigid plastic double glazed units 10 / 8 < 3 4 5 >6 2 3 4 5 2 3 4 5 For intermediate values of thickness in the interval between 3 mm and 6 mm, the height of drop shall be interpolated."
25-3.7.2.6,"The rigid plastic glazings and rigid plastic double glazed units ball test shall be considered to have given a satisfactory result if the following conditions are met: the ball does not penetrate the test piece, the test piece does not break into separate pieces."
25-3.7.2.7,Test conditions of flexible plastic glazings in the table below: Scope Amount of Tested Specimens/ Amount of Qualified Specimens Height of fall(m) Nominal thickness e (mm) Temperature (OC) -182 232 flexible plastic glazings 10 / 8 All of thickness 2 2
25-3.7.2.8,The flexible plastic glazings ball test shall be considered to have given a satisfactory result if the following conditions are met: the ball does not penetrate the test piece.
25-3.7.2.9,The laminated rigid plastic panes and rigid plastic windscreens number of test pieces  Ten flat square pieces of 300 +10/-0 mm side or ten substantially flat finished parts shall be subjected to testing. In this later case the contact between the part and the supporting fixture shall be around the whole perimeter and of about 15 mm width. Upper and lower supporting frames shall be clamped together in a way that ensures that the movement of the test piece during the test shall not exceed 2 mm.
25-3.7.2.9.1,The ambient temperature ball drop test shall be only performed after the humidity test  Paragraph- in the table below: Scope Amount of Tested Specimens/ Amount of Qualified Specimens Height of fall(m) Nominal thickness e (mm) Temperature (OC) -182 laminated rigid plastic panes 10 / 8 All of thickness 6 rigid plastic windscreens 10 / 8 All of thickness 8.5
25-3.7.2.9.2,"The ball test shall be considered to have given a satisfactory result if the following conditions are met for laminated rigid plastic panes , rigid plastic windscreens (a) The ball does not penetrate the test piece, (b) The test piece does not break into separate pieces."
25-3.7.2.9.3,"As a result of the impact, cracks and fissures in the test piece shall however be permitted."
25-3.7.2.10,The laminated rigid plastic windscreens number of test piecesNumber of test pieces twenty square test pieces of 300 +10/-0 mm or ten substantially flat finished parts shall be subjected to testing. In this later case the contact between the part and the supporting fixture shall be around the whole perimeter and of about 15 mm width. Upper and lower supporting frames shall be  clamped together in a way that ensures that the movement of the test piece during the test shall not exceed 2 mm.
25-3.7.2.10.1,"To minimize the temperature change of the test piece, the test shall be performed within 30 seconds of the removal of the test piece from the conditioning appliance in the table below Scope Amount of Tested Specimens/ Amount of Qualified Specimens Height of fall(m) Nominal thickness e (mm) Temperature (OC) 402 -182 laminated rigid plastic windscreens 10 / 8 All of thickness 9 8.5"
25-3.7.2.10.2,The ball test shall be considered to have given a satisfactory result if the following conditions are met for laminated rigid plastic windscreens (a) The ball does not penetrate the test piece; (b) The test piece does not break into separate pieces.
25-3.7.2.10.3,"As a result of the impact, cracks and fissures in the test piece shall however be permitted."
25-3.8,2260 g ball test:
25-3.8.1,Twelve square test pieces of 300m+10/-0 side shall be subjected to testing.
25-3.8.2,Condition the test piece at 20 5°C for at least four hours immediately preceding the test.
25-3.8.3,"The test is processed using a hardened-steel ball mass of 2260 +/- 20 g and a diameter of approximately 82mm, and dropping the ball freely from a height of 4m or giving the ball a velocity equivalent to that obtained by the free ball. The point of impact shall be within 25mm of the geometric centre of the test piece. The ball shall strike that face of the test piece which represents the inward  face of the safety-glass pane when the latter is mounted on the vehicle."
25-3.8.4,The test shall be deemed to have given a satisfactory result if the ball does not pass through the glazing within five seconds after the moment of impact.
25-3.8.5,"A set of test pieces submitted for approval shall be considered satisfactory from the point of view of the 2,260 g ball test if at least eleven of the twelve tests have given a satisfactory result."
25-3.9,Headform test:
25-3.9.1,"For laminated-glass windscreens, glass-plastics windscreens"
25-3.9.1.1,"Test piecesIn the case of windscreen, four samples of complete windscreen shall be tested. In the case of glass panes (1,100 mm x 500 mm) +5/-2 (5/2) shall be subjected testing. Four tested for glass-plastics windscreens test pieces from the series having the smallest developed area and four complete windscreens test pieces from the series having the largest developed area."
25-3.9.1.2,The test piece shall be kept at a constant temperature of 20 5 for at least four hours immediately preceding the test.
25-3.9.1.3,"The total mass of the headform shall be 10 (0.2) kg, and dropping the ball freely from a height of 1.5m+0/-5 mm or giving the ball a velocity equivalent to that obtained by the free ball. The weight shall strike the test piece within 40mm of the geometric centre on that face which represents the inward face of the safety-glass pane when the latter is mounted on the vehicle."
25-3.9.1.4,This test shall be deemed to have given a satisfactory result if the following conditions are fulfilled.
25-3.9.1.4.1,"The sample breaks displaying numerous circular cracks centred approximately on the point of impact, the cracks nearest to the point of impact being not more than 80 mm from it;"
25-3.9.1.4.2,"The layers of glass shall remain adhering to the plastics-material interlayer. One or more partial separation from the interlayer with a distance of less than 4 mm in breadth, on either side of the crack, is permitted outside a circle of 60 mm in diameter centred on the point of impact."
25-3.9.1.4.3,On the impact side: 
25-3.9.1.4.3.1,The interlayer must not be laid bare over an area of more than 20 cm2.
25-3.9.1.4.3.2,A tear in the interlayer up to a length of 35 mm is allowed.
25-3.9.1.5,All the tests give satisfactory results
25-3.9.2,"For rigid plastic panes, rigid plastic multiple glazed units, laminated rigid plastic panes, rigid plastic windscreens and Laminated rigid plastic windscreens"
25-3.9.2.1,"Test piecesSix flat test pieces (1,170 + 0/-2 mm) x (570 + 0/-2 mm) or six complete parts shall be subjected to testing."
25-3.9.2.2,The test piece shall be kept at a constant temperature of 20 5 for at least four hours immediately preceding the test.
25-3.9.2.3,"The total mass of the headform shall be 10 (0.2) kg, and dropping the ball freely from a height or giving the ball a velocity equivalent to that obtained by the free ball. The weight shall strike the test piece within 40mm of the geometric centre on that face which represents the inward face of the safety-glass pane when the latter is mounted on the vehicle."
25-3.9.2.3.1,"For laminated rigid plastic panes, rigid plastic panes and rigid plastic multiple glazed units tests on a complete panes drop height"
25-3.9.2.3.1.1,For forward facing panes situated forward to an occupant and which have impact probability the drop height shall be 3 m. The HIC value shall also be measured.(used only for a drop height of less than or equal to 1.5 m)
25-3.9.2.3.1.2,"For side windows, back windows with limited impact possibilities and sunroofs the drop height shall be 1.5 m. The HIC value shall be measured."
25-3.9.2.3.2,"For rigid plastic windscreens and laminated rigid plastic windscreens tests on a complete windscreens, the drop height shall be 3 m. The HIC value is also to be measured."
25-3.9.2.4,The test shall be deemed to have given a satisfactory result if the following conditions are fulfilled:
25-3.9.2.4.1,The test piece or sample is not penetrated nor shall it break into fully separate large pieces.
25-3.9.2.4.2,"The HIC value is less than 1,000. "
25-3.9.2.4.3,All the tests give satisfactory results.
25-3.10,Test of resistance to abrasion:
25-3.10.1,Test pieces: three pieces of squares of side 100 mm.
25-3.10.2,"The methods of haze calculation Immediately place the test piece against the entrance port of the integrating sphere. The angle between the normal (perpendicular) to the surface of the test piece and the axis of the light beam shall not exceed 8 degrees . Take four readings as indicated in the following table: Repeat readings for T1, T2, T3, and T4 with other specified positions of the test piece to determine uniformity. Calculate the total transmittance Tt = T2/T1. Calculate the total transmittance Td as follows:  Calculate the percentage haze, or light, or both, scattered, as follows: Haze, or light, or both, scattered, Measure the initial haze of the test piece at a minimum of four equally-spaced points in the unabraded area in accordance with the formula above. Average the results for each test piece. In lieu of the four measurements, an average value may be obtained by rotating the piece uniformly at 3 rev/sec or more."
25-3.10.3,Condition the test pieces for a minimum time of 48 hours at 20 +/- 5 degrees C and 60 +/- 20 per cent relative humidity.
25-3.10.4,"The abrasion test shall be carried out on that surface of the test piece which represents the outside face of the laminated-glass pane when the latter is mounted on the vehicle. Abrading instrument consists of a horizontal turntable, which revolves counter-clockwise at 65 to 75 rev/min, and two weighted parallel arms each carrying a special abrasive wheel freely rotating; each wheel rests on the test specimen under the pressure exerted by a mass of 500 g, the test being continued for 1000 cyclesp·Rigid plastic glazings and rigid plastic double glazed units can be declared as M by applicant then it can be reduced to 500 times p¸. and measure the haze once again. if coated on the inner face with a layer of plastics material(e.g. safety glazing faced with plastics material(on the inside)), the plastics coating shall be subjected to a test for 100 cycles and measure the haze once again."
25-3.10.4.1,"For glass-plastics windscreens and glass-plastics panes , test of resistance to abrasion on the outer face, the test being continued for 1,000 cycles ; test of resistance to abrasion on the inner face, the plastics coating shall be subjected to a test for 100  cycles and measure the haze once again."
25-3.10.5,The wheels shall have a hardness of 72 5 IRHD (International Rubber Hardness).
25-3.10.6,"Outer surface, the light scatter as a result of abrasion of the test piece does not exceed 2%. In the case of glazing of class M, the abrasion test shall be considered to have given a satisfactory result if the total light scatter after abrasion does not exceed 10 per cent after 500 cycles on the outer surface of the test sample and 4 per cent after 100 cycles on the inner surface of the test sample."
25-3.10.7,"In the case of glazing of declared as L by applicant , for the abrasion on the outer surface of the test sample, either the Taber test or as an equivalent alternative the package of Sand drop test, Carwash test and Wiper test shall apply as described  Paragraph- Paragraph- Paragraph-."
25-3.10.8,"For laminated rigid plastic panes shall be subjected to testing ,as follows"
25-3.10.8.1,"In the case of glazing of declared as L by applicant, the Taber abrasion test shall be considered to have given a satisfactory result if the increase of haze after abrasion does not exceed 2 per cent after 1,000 cycles on the outer surface of the test sample and 4 per cent after 100 cycles on the inner surface of the test sample"
