Index,Text
50-2.5.4.2.4,"in the case of front seats head restraints may be such that they can be automatically displaced when the seat is not occupied, to a position resulting in a height of less than 750 mm, provided that they automatically return to the position of use when the seat is occupied."
50-2.5.4.3,"The dimensions mentioned  Paragraph- Paragraph- above, may be less than 800 mm in the case of front seats and 750 mm in the case of other seats to leave adequate clearance between the head restraint and the interior surface of the roof, the windows or any part of the vehicle structure; however, the clearance shall not exceed 25 mm. In the case of seats fitted with displacement and/or adjustment systems, this shall apply to all seat positions. Furthermore, by derogation  Paragraph- above, there shall not be any ""use position"" resulting in a height lower than 700 mm."
50-2.5.4.4,"By derogation to the height requirements mentioned  Paragraph- Paragraph- above, the height of any head restraint designed to be provided in rear centre seats or seating positions shall be not less than 700 mm."
50-2.5.5,"The height of the head rests device, measured as prescribed  Paragraph- above, for the head rest of adjustable height, the height of the head rest itself shall be not less than 100 mm."
50-2.5.6,The gap between the seatback and the head restraint shall conform to as follows:
50-2.5.6.1,"In the case of a head restraint not adjustable for height, the area to be considered is above a plane perpendicular to the reference line at 540 mm from the R point and between two vertical longitudinal planes passing at 85 mm on either side of the reference line. There shall be no gap of head restraint and any gap between head restraints bottom and seat-backs top more than 60 mm In this area. One or more gaps of more than 60 mm are permitted provided that the requirements  Paragraph- below are still met."
50-2.5.6.2,"If the head restraint is adjustable for height it shall, in its lowest position, be not more than 25 mm from the top of the seat back. One or more gaps of more than 60 mm are permitted on the part of the device serving as the head restraint provided that the requirements  Paragraph- below are still met."
50-2.5.7,"The width of the head restraint shall be such as to provide suitable support for the head of a person normally seated. In the plane of measurement of width defined  Paragraph- above, the head restraint shall cover an area extending not less than 85 mm to each side of the plane of symmetry of the seat for which the head restraint is intended."
50-2.5.8,The head restraint and its anchorage shall be such that the maximum backward displacement of the head permitted by the head restraint and measured in conformity with the test procedure of Effectiveness of the device prescribed  Paragraph- above is less than 102 mm.
50-2.5.9,The head restraint and its anchorage shall be strong enough to bear without failure the load prescribed  Paragraph-.
50-2.5.10,"If the head restraint is adjustable, it must not be possible to exceed the maximum prescribed height for use without voluntary action by the user in addition to adjusting operation.  Fig. 1 Determination of height of head restraint  Fig 2. Determination of width of head restraint  Fig. 3 Details of lines drawn and measurements taken during tests  Fig. 4 Determination of head restraint Gaps"
