Doc,tag,entities
"Impact event Means the impact or other physical event that causes the trigger threshold to be met or exceeded, or any other event which cuases non-reversible restraint is deployed","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
", whichever occurs first.","['O', 'O', 'O', 'B-ORDINAL', 'O']",[]
"Event data recorder system (EDR) Means a device or system composed with one or more onboard electronic modules, and with data function of monitoring, collecting and recording vehicle and occupant protection system, prior to, during and after the event.","['B-SYSTEM', 'I-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'U-ABRREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 26, 'SYSTEM'), (28, 31, 'ABRREV')]"
"EDR controller Means an onboard electronic module used for monitoring, collecting and record of time series data in impact event occurrence process.","['U-ABRREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABRREV')]"
Lateral acceleration Means the component of the acceleration vector of a point in the vehicle in the Y-direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
For Reference Purposes,"['O', 'O', 'O']",[]
Only Figure 1 Coordinate system of the vehicle,"['O', 'B-FIGURE', 'L-FIGURE', 'B-SYSTEM', 'L-SYSTEM', 'O', 'O', 'O']","[(5, 13, 'FIGURE'), (14, 31, 'SYSTEM')]"
Longitudinal acceleration Means the component of the acceleration vector of a point in the vehicle in the X-axis direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"The longitudinal acceleration is positive in the direction of forward vehicle travel, see Figure 1.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIGURE', 'L-FIGURE', 'O']","[(90, 98, 'FIGURE')]"
Normal acceleration Means the component of the vector acceleration of a point in the vehicle in the Z-axis direction.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"The normal acceleration is positive in a downward direction, see Figure 1.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIGURE', 'L-FIGURE', 'O']","[(65, 73, 'FIGURE')]"
Delta-V Means the vector difference between pre-impact vehicle velocity and post-impact vehicle velocity.,"['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
The calculation formula of delta-V is as follows:,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
In which: i -- Number of time series sampling point; 7 For Reference Purposes Only G -- Acceleration.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
EDR record Means the time series data stored in one or more ECU specially recording EDR data after the occurrence of impact.,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (84, 87, 'ABBREV')]"
Trigger threshold Means the conditions meeting the requirements for EDR record.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O']","[(68, 71, 'ABBREV')]"
Locked event Means the event for EDR record that meets locking conditions and cannot be overridden by subsequent events.,"['O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(33, 36, 'ABBREV')]"
Unlocked event Means the event which EDR record may be overwritten by subsequent events if not meeting locking conditions.,"['O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(37, 40, 'ABBREV')]"
Time zero (T0) Means the beginning of time point for an impact event defined in EDR system.,"['O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(11, 13, 'ABBREV')]"
Protection system Means the interior fittings and devices intended to restrain the occupants.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"[<Regulation_GB11551-2014>, definition 3.1]","['O', 'B-REG', 'I-REG', 'L-REG', 'O', 'O', 'O', 'B-DEF', 'L-DEF', 'O']","[(1, 21, 'REG'), (28, 42, 'DEF')]"
"Occupant protection control algorithm Means the impact sensing logic that activates occupant protection devices as necessary, not a pre-impact sensing logic.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Non-reversible restraint Means the restraint device that cannot be recovered to reuse condition through automatic recovery or manual adjustment.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Translating Means that EDR data retrieval tools convert data stored in an EDR record and render it into a human-readable report.,"['O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(23, 26, 'ABBREV'), (74, 77, 'ABREV')]"
EDR data retrieval tool Means an electronic tool consisting of the hardware and software which meets below 8 For Reference Purposes Only functions and is used for read EDR record data: -- Make a connection to the vehicles connector meeting requirements defined in <Regulation_GBT 34589>-2017 Road vehicles -- Diagnostic connector; --,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (168, 171, 'ABBREV')]"
"Read the EDR record data; -- Authenticate and save the un-translated binary EDR record to a file on a PC; -- Open and authenticate a saved, un-translated file(s) containing an EDR record(s) and translate it into a human-readable report.","['O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(9, 12, 'ABBREV'), (76, 79, 'ABBREV'), (176, 179, 'ABBREV')]"
EDR record retrieval Means the procedure that EDR data retrieval tool reads and translates EDR record and output report.,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (46, 49, 'ABBREV'), (91, 94, 'ABBREV')]"
EDR record report Means the human-readable report containing the vehicle EDR record translated and outputed by the EDR data retrieval tool.,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (115, 118, 'ABBREV')]"
Upper control limits (UCL) Used to define the upper limit for compliance testing of a variable.,"['O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(22, 25, 'ABBREV')]"
Lower control limits (LCL) Used to define the lower limit for compliance testing of a variable.,"['O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(22, 25, 'ABBREV')]"
Technical Requirements,"['O', 'O']",[]
Impact event requirements,"['O', 'O', 'O']",[]
Trigger threshold,"['O', 'O']",[]
"When vehicle reaches the following trigger threshold conditions, the event shall be recorded: -- -V, longitudinal only","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
", trigger threshold means a change in vehicle velocity in the X-axis direction that is not less than 8km/h within a 150ms interval.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O']","[(101, 106, 'PARAMETER'), (116, 130, 'PARAMETER')]"
"-- - also, trigger threshold means a change in vehicle velocity in either the X-axis or Y-axis","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS']","[(78, 84, 'AXIS'), (88, 94, 'AXIS')]"
direction that is not less than 8km/h within a 150ms interval.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O']","[(32, 37, 'PARAMETER'), (47, 61, 'PARAMETER')]"
"When the manufacturer sets other trigger thresholds, the requirements <Paragraph_4.1.1.1> <Paragraph_4.1.1.2> shall also be met.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Locking conditions,"['O', 'O']",[]
"EDR shall choose either of the following as the locking condition, and the event data shall not be overridden: -- Non-reversible restraint deployment; -- The vehicle velocity change in X-axis direction is not less than 25km/h within 150ms interval.","['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'B-FAC', 'O', 'O']","[(0, 3, 'ABBREV'), (185, 191, 'AXIS')]"
"In case of occurrence of rear-impact, it is permitted to adopt the locking condition of the control algorithm at discretion of the manufacturer as locking condition.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"In case of lateral impact, it is necessary to take deployment of lateral non-reversible restraint as locking condition.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"If vehicle is not configured with lateral non-reversible restraint, vehicle manufacturer shall determine whether to lock.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"If the manufacturer sets other locking conditions, the requirements <Paragraph_4.1.2.1> <Paragraph_4.1.2.2> shall also be met.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"Beginning of impact event Beginning of impact event (time zero T0) shall meet any of the following requirements, as shown in Figure 2:","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O']",[]
a) -T0 is the time at which the occupant protection control algorithm is activated.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
b),"['O', 'O']",[]
"For continuously running occupant protection control algorithms, T0 is the time when the cumulative Delta-V of not less than 0.8km/h is reached within a 20ms interval in the longitudinal direction for a frontal/rear event; or the cumulative Delta-V of not less than 0.8km/h is reached within a 5ms interval in the lateral direction for a lateral impact event.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-MONEY', 'I-MONEY', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-MONEY', 'I-MONEY', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
As shown in Table 1.,"['O', 'O', 'O', 'O', 'B-CARDINAL', 'O']",[]
c),"['O', 'O']",[]
A deployment starting time of a non-reversible restraint.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
d),"['O', 'O']",[]
"If EDR function is not realized through airbag controller, then clause b) shall be taken as the beginning of an impact event.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Note 1:,"['O', 'B-CARDINAL', 'O']",[]
Wake-algorithm starts to operate after satisfaction of certain conditions continuously running operation after power-on of occupant 10,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
For Reference Purposes,"['O', 'O', 'O']",[]
Only protection control algorithm.,"['O', 'O', 'O', 'O', 'O']",[]
Note 2:,"['O', 'B-CARDINAL', 'O']",[]
The second stage (or higher stage),"['O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"firing of airbag shall not be taken as the beginning of an impact event, and shall not trigger another EDR record.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Note 3:,"['O', 'B-CARDINAL', 'O']",[]
"If c) is adapted as the beginning of impact event, impact event data before the deployment of a non-reversible restraint shall be collected and recorded as well.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Note:,"['O', 'O']",[]
"The figure is not plotted as per proportion, depending on impact direction, delta-V and acceleration data may be positive value or negative value.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Figure 2 Common Referencing Data Points of an Impact Event Table 1 Threshold for Beginning of Each Impact Event (continuously running algorithm),"['O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Items Impact type Front impact Lateral impact,"['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Rear impact Direction of Acceleration Longitudinal Lateral Longitudinal Cumulative Delta-V within a Time Interval Within 20ms interval Within 5ms interval Within 20ms interval -0.8km/h -0.8km/h,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'B-FAC', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-PERSON', 'O', 'O']",[]
End of impact event End of impact event,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
(Tend) shall meet the following requirements: 11 For Reference Purposes Only a),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Fo-end occurs at the moment when the occupant protection control algorithm resets itself.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']",[]
"If this condition is not met until the end of record period, Tend could be defined as the time for data point recorded at last.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
b),"['O', 'O']",[]
"For continuously running occupant protection control algorithms, Tend occurs when the longitudinal and lateral (if recorded)","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"cumulative Delta-V, within a 20ms interval, becomes 0.8km/h or less.","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O']","[(52, 59, 'PARAMETER')]"
"If this condition is not met until the end of record period, Tend could be defined as the time for data point recorded at last.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
c),"['O', 'O']",[]
"If EDR function is not realized through airbag controller, then b) shall be taken as the end of an impact event.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Duration of impact event,"['O', 'O', 'O', 'O']",[]
The duration of an impact event is the time interval between the beginning of an impact event (T0) and the end of the impact event (Tend).,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Note:,"['O', 'O']",[]
The duration of an impact event may exceed the time recording capability of the EDR.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(80, 83, 'ABBREV')]"
Data record requirements,"['O', 'O', 'O']",[]
The EDR record data elements are divided into two levels according to the following requirements: --,"['O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(4, 7, 'ABBREV')]"
Level A data element: Data that shall be recorded for vehicle configured with EDR system.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O']","[(78, 81, 'ABBREV')]"
"See name of Level A data element, minimum recording interval, minimum recording frequency and data description as per Table 2.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O']",[]
-- Level B data element: Related data that shall be recorded for relevant device or function equipped for vehicle configured with EDR system.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O']","[(130, 133, 'ABBREV')]"
"See name of Level B data element, minimum recording interval, minimum recording frequency and data description as per Table 3.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O']","[(118, 125, 'TABLE')]"
Table 2 Level,"['B-TABLE', 'L-TABLE', 'O']","[(0, 7, 'TABLE')]"
A,['O'],[]
Data Element No.,"['O', 'O', 'O', 'O']",[]
Name Minimum Recording Interval Minimum Recording Frequency Data Description 1a,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL']",[]
Longitudinal delta-V 0ms to 250ms,"['O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER']","[(21, 33, 'PARAMETER')]"
", relative to time zero (±5ms) or 0 to end of impact event time plus 30ms, whichever is shorter 100Hz Means change in longitudinal vehicle velocity.","['O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'B-PARAMETER', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Longitudinal delta-V is only the longitudinal component of the total delta-V. 2a,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Maximum recorded,"['O', 'O']",[]
longitudinal delta-V - - Means,"['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"the maximum value of the cumulative change in vehicle velocity, as recorded by the EDR, of the vehicle along the X-axis.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AXIS', 'I-AXIS', 'L-AXIS', 'O']","[(113, 119, 'AXIS')]"
"This data shall be used in combination with TIME TO THE MAXIMUM RECORDED DELTA-V, LONGITUDINAL.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
12,['O'],[]
